city_name,magnitude_of_delay,delay_in_seconds,affected_roads,record_date,luminosity,avg_temperature,avg_atm_pressure,avg_humidity,avg_wind_speed,avg_precipitation,avg_rain,accidents
Braga,UNDEFINED,0,"N103,N103,",2019-02-17 20:00,DARK,13.0,1017.0,87.0,2.0,0.0,chuva fraca,Low
Braga,MAJOR,401,"N101,N103,N14",2019-02-14 12:00,LIGHT,17.0,1025.0,45.0,5.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,1057,"CM1348,CM1348",2019-09-03 19:00,DARK,27.0,1018.0,53.0,4.0,0.0,Sem Chuva,Low
Braga,MAJOR,3612,"N101,CM1348,N103,N14,N103,N101,N101,CM1348,CM1348,",2019-06-18 18:00,LIGHT,16.0,1013.0,100.0,6.0,0.0,Sem Chuva,High
Braga,MAJOR,498,"N14,N101,CM1348,N14,N101,CM1348",2019-05-08 13:00,LIGHT,15.0,1014.0,82.0,6.0,0.0,Sem Chuva,Medium
Braga,MAJOR,1270,"CM1348,CM1348,",2019-05-25 21:00,DARK,19.0,1020.0,82.0,5.0,0.0,Sem Chuva,High
Braga,UNDEFINED,0,"CM1348,CM1348",2019-09-16 04:00,DARK,17.0,1017.0,93.0,2.0,0.0,Sem Chuva,None
Braga,MAJOR,1264,"CM1348,CM1348,CM1348",2019-08-15 11:00,LIGHT,26.0,1021.0,73.0,4.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"N103,N103,",2019-02-21 06:00,DARK,10.0,1022.0,76.0,5.0,0.0,Sem Chuva,Low
Braga,MAJOR,23804,"N14,N103,N14,N103,N14,N14,N14,N103,N101,N14,N14,N101,N103,N101,N201,N201,N101,N201,N14,N101,N103,N101,N101,N101,N101,N101,N101,N14,N14,N103,N14,N14,N103,N201,N103,N14,N14,N101,N101,N101,N101,N101,N103,N101,N309,N14,N101",2019-05-06 17:00,LIGHT,16.0,1020.0,72.0,2.0,0.0,Sem Chuva,Very_High
Braga,MAJOR,867,"CM1348,N14,CM1348",2019-09-17 14:00,LIGHT,22.0,1016.0,100.0,1.0,0.0,Sem Chuva,Medium
Braga,MAJOR,315,"CM1348,A11,CM1348",2019-10-10 20:00,DARK,16.0,1017.0,82.0,2.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-05 13:00,LIGHT,20.0,1019.0,72.0,3.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,",",2019-01-19 23:00,DARK,12.0,1010.0,87.0,6.0,0.0,Sem Chuva,None
Braga,MAJOR,2714,"N14,N103,CM1348,N14,N103,CM1348,N14,N103,CM1348",2019-10-17 13:00,LIGHT,17.0,1016.0,82.0,3.0,0.0,Sem Chuva,High
Braga,MAJOR,1004,"CM1348,N14,N14,CM1348",2019-09-12 13:00,LIGHT,29.0,1025.0,42.0,3.0,0.0,Sem Chuva,Medium
Braga,MAJOR,9298,"EM569,N103,N103,N201,N201,M589,N101,N101,CM1348,N14,EM569,N103,N103,N201,N201,M589,N101,N101,N101,N101,N101,N101,N103,N103,CM1348,N101,N101,N101,N14,CM1348",2019-11-15 08:00,LIGHT,5.0,1012.0,80.0,2.0,0.0,Sem Chuva,Very_High
Braga,UNDEFINED,0,"CM1348,CM1348",2019-07-24 06:00,LIGHT,15.0,1015.0,100.0,1.0,0.0,Sem Chuva,None
Braga,MAJOR,2059,"CM1348,N101,N103,EM590,CM1348,N101,N14,CM1348",2019-10-03 15:00,LIGHT,21.0,1021.0,68.0,2.0,0.0,Sem Chuva,High
Braga,MAJOR,658,"N101,N201",2019-04-17 10:00,LIGHT,12.0,1007.0,87.0,6.0,0.0,chuva fraca,None
Braga,UNDEFINED,0,",",2019-12-23 06:00,DARK,8.0,1026.0,93.0,3.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-05-19 13:00,LIGHT,18.0,1016.0,55.0,6.0,0.0,Sem Chuva,Low
Braga,MAJOR,262,",",2019-05-11 19:00,DARK,23.0,1021.0,68.0,4.0,0.0,Sem Chuva,None
Braga,UNDEFINED,363,"N201,CM1348,CM1348,",2019-07-01 06:00,LIGHT,16.0,1020.0,100.0,0.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,",",2019-01-21 23:00,DARK,6.0,1025.0,93.0,1.0,0.0,Sem Chuva,None
Braga,MAJOR,10998,"N103,N14,N14,N14,N101,N101,N14,N14,N103,N103,N14,N201,N101,N101,N101,N103,N14,N14,N103,N101,N101,",2019-02-06 18:00,DARK,12.0,1025.0,87.0,1.0,0.0,Sem Chuva,Very_High
Braga,MAJOR,0,"CM1348,CM1348,",2019-06-08 20:00,DARK,14.0,1020.0,82.0,6.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"CM1348,CM1348",2019-09-22 20:00,DARK,15.0,1019.0,93.0,2.0,0.0,Sem Chuva,None
Braga,MAJOR,1945,"CM1348,N14,N14,N103,N101,CM1348,N14,N14,CM1348",2019-11-04 16:00,LIGHT,13.0,1010.0,93.0,3.0,0.0,aguaceiros,High
Braga,MAJOR,11081,"N14,N103,N14,N103,N14,N101,N101,N103,N101,CM1348,N103,N14,N14,A11,N103,N103,N205-4,N201,N14,N103,N14,N101,N101,N101,CM1348,N14,N103,N14,N201,N201,N14,N101,N101,N101,CM1348,N14",2019-06-05 17:00,LIGHT,15.0,1017.0,67.0,3.0,0.0,Sem Chuva,Very_High
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-22 03:00,DARK,8.0,1016.0,87.0,3.0,0.0,Sem Chuva,None
Braga,MAJOR,639,"N14,CM1348,CM1348,",2019-09-28 18:00,DARK,17.0,1019.0,82.0,1.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,123,"CM1348,N101,CM1348,",2019-07-05 10:00,LIGHT,20.0,1017.0,88.0,4.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,232,"CM1348,CM1348",2019-10-19 01:00,DARK,13.0,1011.0,100.0,6.0,0.0,Sem Chuva,Low
Braga,MODERATE,1018,"N14,",2019-12-13 21:00,DARK,12.0,1021.0,82.0,1.0,0.0,Sem Chuva,Medium
Braga,MAJOR,277,"CM1348,CM1348",2019-08-10 14:00,LIGHT,22.0,1021.0,73.0,4.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-31 23:00,DARK,17.0,1024.0,100.0,3.0,0.0,Sem Chuva,None
Braga,MAJOR,9454,"N103,N14,N103,N205-4,N201,N201,N201,N101,N101,N101,CM1348,N14,N14,N103,N14,N14,N103,N201,N101,CM1348,N103,N14,N103,N14,N14,N101,N101,CM1348,N14,",2019-07-16 17:00,LIGHT,25.0,1013.0,78.0,2.0,0.0,Sem Chuva,Very_High
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-04 03:00,DARK,16.0,1019.0,93.0,0.0,0.0,Sem Chuva,None
Braga,UNDEFINED,565,"CM1348,CM1348,N309",2019-05-10 23:00,DARK,13.0,1021.0,100.0,1.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,321,"",2019-01-20 17:00,LIGHT,13.0,1021.0,76.0,7.0,0.0,chuva moderada,Low
Braga,MAJOR,19460,"N14,N103,N101,N14,N14,N201,N101,N101,N101,N103,N201,N103,N14,N14,N103,N101,N101,",2019-12-22 19:00,DARK,11.0,1023.0,82.0,2.0,0.0,Sem Chuva,Very_High
Braga,MAJOR,73,"CM1348,CM1348,",2019-06-05 22:00,DARK,12.0,1017.0,82.0,1.0,0.0,Sem Chuva,Medium
Braga,MAJOR,806,"CM1348,CM1348",2019-10-05 17:00,LOW_LIGHT,17.0,1019.0,72.0,4.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,1162,"N205-4,CM1348,CM1348,",2019-07-17 15:00,LIGHT,26.0,1016.0,73.0,6.0,0.0,Sem Chuva,Medium
Braga,MODERATE,1100,"CM1348,N14,CM1348,CM1348",2019-07-25 08:00,LIGHT,20.0,1014.0,100.0,6.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"CM1348,CM1348",2019-09-15 08:00,LIGHT,22.0,1019.0,64.0,2.0,0.0,Sem Chuva,None
Braga,UNDEFINED,373,"CM1348,CM1348",2019-11-17 00:00,DARK,7.0,1016.0,100.0,5.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-07 03:00,DARK,12.0,1021.0,100.0,0.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,"CM1348,CM1348",2019-09-02 12:00,LIGHT,28.0,1016.0,40.0,3.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,"CM1348,CM1348",2019-11-11 21:00,DARK,9.0,1021.0,81.0,4.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,"CM1348,CM1348",2019-08-09 12:00,LIGHT,21.0,1017.0,88.0,5.0,0.0,Sem Chuva,None
Braga,MAJOR,5957,"N14,N103,N14,N14,N14,N103,N14,N103,N101,CM1348,N14,N103,N14,N14,N201,N101,CM1348,",2019-07-08 16:00,LIGHT,20.0,1015.0,82.0,2.0,0.0,Sem Chuva,Very_High
Braga,MODERATE,5956,"N14,N14,N101,N101,N103,N103,N14,N14,N14,N103,A11,N103,N103,N14,N101,N101,N103,N103",2019-12-06 20:00,DARK,9.0,1023.0,100.0,0.0,0.0,Sem Chuva,Very_High
Braga,MAJOR,11796,"N14,N103,N14,N103,N205-4,N201,N101,N101,CM1348,N14,N103,N103,N14,N14,N101,CM1348,N14,N14,N103,N103,N201,N14,N205-4,N205-4,N201,N101,N101,CM1348,N14,N101",2019-07-15 17:00,LIGHT,24.0,1015.0,83.0,4.0,0.0,Sem Chuva,Very_High
Braga,MODERATE,354,"CM1348,CM1348",2019-05-15 10:00,LIGHT,22.0,1015.0,88.0,3.0,0.0,Sem Chuva,High
Braga,UNDEFINED,0,"CM1348,CM1348",2019-09-28 05:00,DARK,12.0,1020.0,100.0,0.0,0.0,Sem Chuva,None
Braga,MAJOR,36,"CM1348,CM1348",2019-09-15 19:00,DARK,22.0,1018.0,72.0,1.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,",",2019-01-17 20:00,DARK,8.0,1022.0,81.0,2.0,0.0,Sem Chuva,None
Braga,MAJOR,8072,"N101,N101,N201,N103,CM1348,N14,N14,N205-4,N201,N201,N101,N101,CM1348,N103,N103,N103,N103,CM1348",2019-09-16 18:00,DARK,20.0,1016.0,93.0,2.0,0.0,Sem Chuva,Very_High
Braga,MAJOR,245,"CM1348,CM1348",2019-08-22 20:00,DARK,23.0,1016.0,56.0,2.0,0.0,Sem Chuva,Low
Braga,MAJOR,334,"N101,CM1348,N101,CM1348",2019-11-13 20:00,DARK,11.0,1016.0,93.0,3.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-05-30 19:00,LOW_LIGHT,26.0,1019.0,34.0,5.0,0.0,Sem Chuva,Low
Braga,MODERATE,9903,"CM1327,N201,N101,N101,N101,N101,N201,N14,N14,N101,N101,N101,N201,N14,N14,N101,N101,N201",2019-12-24 17:00,LOW_LIGHT,15.0,1023.0,72.0,4.0,0.0,Sem Chuva,Very_High
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-06-10 07:00,LIGHT,13.0,1021.0,87.0,1.0,0.0,Sem Chuva,Low
Braga,MAJOR,0,"CM1348,CM1348,",2019-06-23 05:00,LIGHT,14.0,1011.0,100.0,2.0,0.0,Sem Chuva,Medium
Braga,MODERATE,0,",",2019-03-03 14:00,LIGHT,15.0,1022.0,82.0,7.0,0.0,Sem Chuva,Low
Braga,MAJOR,117,"CM1348,CM1348,",2019-07-01 22:00,DARK,18.0,1017.0,93.0,2.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-05-22 22:00,DARK,14.0,1020.0,100.0,1.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-05-30 04:00,DARK,18.0,1021.0,43.0,3.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,300,"CM1348,CM1348,",2019-07-07 16:00,LIGHT,22.0,1015.0,82.0,3.0,0.0,Sem Chuva,Medium
Braga,MAJOR,696,"CM1348,N14,N101,N101,CM1348",2019-10-23 11:00,LIGHT,15.0,1012.0,72.0,7.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"N103,N103,",2019-03-05 04:00,DARK,9.0,1017.0,93.0,4.0,0.0,aguaceiros fracos,Low
Braga,UNDEFINED,324,"CM1348,CM1348",2019-08-26 06:00,LIGHT,18.0,1013.0,88.0,2.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,",",2019-01-28 22:00,DARK,9.0,1023.0,93.0,0.0,0.0,Sem Chuva,None
Braga,UNDEFINED,206,"N101,CM1348,CM1348,",2019-05-16 10:00,LIGHT,15.0,1014.0,77.0,7.0,0.0,Sem Chuva,Medium
Braga,MINOR,27,",",2019-05-03 23:00,DARK,16.0,1011.0,59.0,2.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-05-19 07:00,LIGHT,11.0,1015.0,82.0,1.0,0.0,Sem Chuva,Low
Braga,MAJOR,12087,"N101,N103,N14,N14,N201,N201,N14,N101,N101,N101,N103,N103,N14,",2019-12-20 20:00,DARK,11.0,1001.0,100.0,1.0,0.0,Sem Chuva,Very_High
Braga,UNDEFINED,0,CM1348,2019-11-03 11:00,LIGHT,15.0,1013.0,72.0,3.0,0.0,Sem Chuva,None
Braga,MAJOR,2419,"N101,CM1348,N101,CM1348,N101,N101,N101,CM1348",2019-10-19 10:00,LIGHT,13.0,1005.0,100.0,4.0,0.0,chuva moderada,High
Braga,MODERATE,249,"N14,CM1348,CM1348",2019-08-22 08:00,LIGHT,25.0,1017.0,50.0,5.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,",",2019-01-17 06:00,DARK,4.0,1020.0,100.0,1.0,0.0,Sem Chuva,None
Braga,MODERATE,1868,"N101,N101,N101,CM1348,N101,CM1348,N101,CM1348",2019-10-28 10:00,LIGHT,15.0,1016.0,93.0,5.0,0.0,Sem Chuva,High
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-06-18 05:00,LIGHT,13.0,1011.0,100.0,4.0,0.0,Sem Chuva,Low
Braga,MAJOR,2740,"M589,N201,N201,M589,N205-4,",2019-01-22 22:00,DARK,11.0,1020.0,87.0,6.0,0.0,Sem Chuva,High
Braga,MODERATE,1401,"N14,N14,N309,N14",2019-12-07 20:00,DARK,10.0,1025.0,93.0,2.0,0.0,Sem Chuva,Medium
Braga,MAJOR,13199,"N101,N103,N103,N103,N14,N14,N14,N14,N101,N101,N103,N103,N14,N201,N205-4,N14,N14,N103,N14,N201,N201,N101,N101,N103,",2019-02-22 19:00,DARK,16.0,1026.0,55.0,4.0,0.0,Sem Chuva,Very_High
Braga,MODERATE,815,"N101,",2019-02-04 11:00,LIGHT,9.0,1031.0,61.0,3.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"N103,N103,",2019-02-03 01:00,DARK,4.0,1027.0,86.0,0.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-07-06 07:00,LIGHT,17.0,1015.0,88.0,3.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"CM1348,CM1348",2019-11-14 00:00,DARK,13.0,1013.0,93.0,4.0,0.0,aguaceiros fracos,None
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-24 05:00,DARK,10.0,1017.0,93.0,2.0,0.0,Sem Chuva,None
Braga,MAJOR,828,"N14,CM1348,N14,N103,N101,CM1348",2019-07-12 07:00,LIGHT,22.0,1013.0,83.0,0.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,162,"CM1348,CM1348",2019-10-20 19:00,DARK,12.0,1016.0,87.0,2.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"N103,N103,",2019-02-23 15:00,LIGHT,20.0,1029.0,49.0,2.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"N103,N103,",2019-02-17 23:00,DARK,11.0,1017.0,93.0,2.0,0.0,chuva fraca,Low
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-20 00:00,DARK,10.0,1008.0,82.0,4.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-05-10 01:00,DARK,15.0,1013.0,100.0,6.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-06-22 03:00,DARK,13.0,1015.0,100.0,0.0,0.0,Sem Chuva,Low
Braga,MAJOR,569,"CM1348,N14,CM1348,CM1348",2019-10-28 15:00,LIGHT,18.0,1015.0,82.0,6.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"CM1348,CM1348",2019-07-22 06:00,LIGHT,17.0,1017.0,100.0,1.0,0.0,Sem Chuva,None
Braga,MODERATE,530,"N14,CM1348,N14,N14,N101,CM1348",2019-08-13 13:00,LIGHT,25.0,1021.0,45.0,0.0,0.0,Sem Chuva,Medium
Braga,MODERATE,1358,"CM1348,N14,N101,CM1348,N103,CM1348",2019-10-18 09:00,LIGHT,13.0,1018.0,87.0,3.0,0.0,Sem Chuva,High
Braga,MODERATE,15812,"N14,N201,N14,N103,N14,N14,N101,N101,N103,N103,N14,N14,N14,N101,N101,N101,N101,N101,N103,CM1289-1,N14,N201,N14,N103,N103,N14,N14,N14,N101,N101,N103,N103,N14,",2019-12-23 12:00,LIGHT,12.0,1027.0,82.0,4.0,0.0,Sem Chuva,Very_High
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-05-21 19:00,LOW_LIGHT,18.0,1016.0,77.0,5.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,259,"N101,CM1348,CM1348,",2019-07-03 10:00,LIGHT,22.0,1013.0,82.0,3.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-01 03:00,DARK,17.0,1016.0,100.0,0.0,0.0,Sem Chuva,None
Braga,MODERATE,868,"N101,N101,N101",2019-04-13 14:00,LIGHT,14.0,1020.0,93.0,3.0,0.0,chuvisco fraco,Low
Braga,MAJOR,936,"CM1348,N14,CM1348,N14,N14,N101,",2019-07-03 13:00,LIGHT,26.0,1013.0,69.0,2.0,0.0,Sem Chuva,High
Braga,MAJOR,233,"N309,N103,N103,",2019-02-13 10:00,LIGHT,11.0,1029.0,62.0,6.0,0.0,Sem Chuva,Medium
Braga,MODERATE,0,",",2019-03-03 15:00,LIGHT,15.0,1021.0,82.0,8.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"N103,N103,",2019-02-24 03:00,DARK,10.0,1028.0,81.0,1.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-25 05:00,DARK,10.0,1022.0,93.0,4.0,0.0,Sem Chuva,None
Braga,UNDEFINED,33,"CM1348,CM1348,",2019-05-27 21:00,DARK,17.0,1016.0,87.0,5.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,462,"N205-4,N14,N103,N103,N14",2019-02-25 13:00,LIGHT,22.0,1029.0,37.0,3.0,0.0,Sem Chuva,Medium
Braga,MAJOR,630,"CM1348,N103,CM1348",2019-11-01 10:00,LIGHT,17.0,1021.0,100.0,5.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"CM1348,CM1348",2019-08-16 04:00,DARK,15.0,1019.0,100.0,0.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,"N103,N103,",2019-02-12 03:00,DARK,6.0,1030.0,100.0,3.0,0.0,Sem Chuva,Low
Braga,UNDEFINED,453,"N101,CM1348,CM1348",2019-08-29 16:00,LIGHT,25.0,1019.0,77.0,4.0,0.0,Sem Chuva,Low
Braga,MAJOR,10757,"N14,N103,N14,N101,N101,N101,CM1348,N103,N14,N14,N103,N101,N101,CM1348,N14,N201,N101,N14,N14,N103,N14,N103,N201,N14,N101,N101,N101,N103,CM1348,",2019-07-01 17:00,LIGHT,24.0,1018.0,73.0,5.0,0.0,Sem Chuva,Very_High
Braga,MODERATE,1282,"N101,N201,N101,N103,N201,N101",2019-12-31 15:00,LIGHT,11.0,1030.0,81.0,2.0,0.0,Sem Chuva,Medium
Braga,MAJOR,290,"CM1348,N103,CM1348",2019-09-15 14:00,LIGHT,27.0,1018.0,53.0,4.0,0.0,Sem Chuva,Low
Braga,MAJOR,1694,"N101,CM1348,N14,CM1348,",2019-05-24 15:00,LIGHT,23.0,1018.0,60.0,10.0,0.0,Sem Chuva,High
Braga,UNDEFINED,0,",",2019-01-18 03:00,DARK,3.0,1022.0,100.0,1.0,0.0,Sem Chuva,None
Braga,MAJOR,9648,"N14,N14,N103,N14,N14,N14,N101,N101,N103,CM1348,N101,N101,N103,CM1348,N14,N103,N14,N14,N101,N101,N103,",2019-08-19 17:00,LIGHT,22.0,1017.0,72.0,7.0,0.0,Sem Chuva,Very_High
Braga,UNDEFINED,0,"CM1348,CM1348",2019-10-10 00:00,DARK,12.0,1021.0,82.0,2.0,0.0,Sem Chuva,None
Braga,UNDEFINED,862,"N101,N101,N101,CM1348,CM1348,N101",2019-06-24 15:00,LIGHT,20.0,1015.0,82.0,2.0,0.0,Sem Chuva,Medium
Braga,UNDEFINED,0,"CM1348,CM1348",2019-08-18 12:00,LIGHT,21.0,1016.0,82.0,7.0,0.0,Sem Chuva,None
Braga,UNDEFINED,0,"N103,N103,",2019-01-31 05:00,DARK,13.0,1004.0,100.0,4.0,0.0,chuva leve,Low
Braga,UNDEFINED,492,"CM1348,CM1348,",2019-05-16 14:00,LIGHT,17.0,1014.0,82.0,7.0,0.0,Sem Chuva,Medium
Braga,MODERATE,0,",",2019-12-20 06:00,DARK,10.0,999.0,87.0,4.0,0.0,Sem Chuva,Low
Braga,MAJOR,20211,"N14,A11,N14,N103,N14,N103,N103,N205-4,N14,N201,N103,N201,N201,N14,N14,N103,N14,N103,N103,N14,N14,N101,N14,N101,N101,N14,N14,N101,N103,N14,N103,N201,N201,N103,CM1291,N101,N103,EM569,N14,N205-4,CM1348,N14,CM1348,N101,N101,N101,N101,CM1348",2019-10-30 18:00,DARK,17.0,1021.0,100.0,1.0,0.0,Sem Chuva,Very_High
Braga,MAJOR,1360,"CM1348,N201,N101,CM1348,CM1348,",2019-05-24 20:00,DARK,18.0,1017.0,72.0,6.0,0.0,Sem Chuva,High
Braga,MAJOR,49,",",2019-12-14 00:00,DARK,12.0,1021.0,87.0,2.0,0.0,Sem Chuva,None
Braga,MAJOR,0,"CM1348,CM1348,",2019-06-14 06:00,LIGHT,10.0,1014.0,93.0,1.0,0.0,Sem Chuva,Medium
Braga,MAJOR,4919,"N101,N101,CM1348,N201,N14,N201,N201,N101,N101,N101,CM1348,N103,N101,CM1348,N103",2019-06-05 18:00,LIGHT,15.0,1017.0,63.0,2.0,0.0,Sem Chuva,High
Braga,UNDEFINED,0,"CM1348,CM1348,",2019-07-21 08:00,LIGHT,20.0,1020.0,82.0,1.0,0.0,Sem Chuva,Low
Braga,MAJOR,741,"CM1348,CM1348,CM1348",2019-08-24 09:00,LIGHT,21.0,1019.0,93.0,2.0,0.0,Sem Chuva,Low
Braga,MAJOR,3708,"N103,N14,N201,M589,N101,N101,N103,N14,N103,N14,N201,N101,N103,N103,",2019-01-30 09:00,LIGHT,8.0,1015.0,93.0,4.0,0.0,chuva fraca,High
Braga,UNDEFINED,0,"CM1348,CM1348",2019-05-08 20:00,DARK,13.0,1015.0,93.0,3.0,0.0,Sem Chuva,None
Braga,UNDEFINED,384,"N101,CM1348,CM1348",2019-10-14 19:00,DARK,10.0,1018.0,87.0,0.0,0.0,aguaceiros,Low
Braga,UNDEFINED,0,"CM1348,CM1348",2019-07-13 19:00,LOW_LIGHT,20.0,1014.0,83.0,3.0,0.0,Sem Chuva,None
Braga,MAJOR,220,"CM1348,CM1348,CM1348",2019-08-21 20:00,DARK,21.0,1017.0,88.0,2.0,0.0,Sem Chuva,Low
