"genres","acousticness","danceability","duration_ms","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","Rock","Rap/Hip hop","Pop","Eletronic/Dance","Latin","Indie","Classical","Country","Metal","Blues","Soul","Jazz","Other","Punk"
"Blues",0.5047039708552176,0.5576669021441419,0.04167764095293554,0.4902747732726233,0.09840484509605894,0.18697858614576635,0.7692088649618202,0.0641170709659485,0.4974488578072236,0.5931885360793838,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Classical",0.9030215173142708,0.3242221136639016,0.0524486204966544,0.15880565829113363,0.6193869663582372,0.15486533663669094,0.5875225171610404,0.0510803081642448,0.42277982717443335,0.23337030242599588,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Country",0.47693353502332747,0.5869543244848796,0.03766090008287998,0.5216341816095956,0.06187980565357097,0.19265212403481938,0.7841761458778073,0.05719265180900117,0.48985310782139196,0.5738910934016328,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Eletronic/Dance",0.15237203136455596,0.6773123118976555,0.05065720939098375,0.678042591393371,0.2632540379974583,0.20031770736364163,0.8086444578267036,0.0895872580270225,0.5021110193981343,0.5211575967946798,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Indie",0.2994903422772083,0.5543979438056017,0.0434054761081694,0.6131373250392871,0.13875298826188162,0.17822874616186832,0.8076788978968891,0.06051522401769806,0.4912864416796113,0.4848451863975589,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Jazz",0.6440660435393126,0.5252724425969261,0.05121909219475144,0.37587239607368106,0.40884116772926327,0.17759025149946164,0.7135137494341564,0.05908551801435686,0.46412879327499124,0.4978992214148043,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Latin",0.32153042691426736,0.5854414567732786,0.04632167230767178,0.6317525269613659,0.10663262121780798,0.20145650839408455,0.7951537347946277,0.08423943213250912,0.47809715488705606,0.5858855847524673,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Metal",0.036588935371651136,0.38230077144117375,0.05104287988353383,0.8621488458631776,0.2576059433836514,0.21565690804084253,0.8384166695408757,0.09323939016626259,0.526708223129493,0.32925390098689195,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Other",0.46168211826448374,0.53859888676631,0.0458577328696261,0.524273362846715,0.2274424484548141,0.19529889955448054,0.7639133564854338,0.09127287564496141,0.48298138342817304,0.4957785024367976,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Pop",0.37094346774338466,0.5863400362222375,0.04246372799631297,0.5893599999236194,0.09455500771811214,0.18344829612778113,0.8030361615953999,0.06480363805023354,0.4942677720887289,0.5440117967432692,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Punk",0.11138337322184759,0.48411641755850787,0.03926943557807988,0.7962978091508714,0.1443002888296614,0.24064118929743408,0.8252089791080665,0.08441057320597417,0.5506327615014902,0.5632323808765701,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Rap/Hip hop",0.19473940765518102,0.716466422466539,0.041931203018314434,0.6488564600515243,0.043828947512729914,0.19264067948948765,0.8280130747538029,0.1734416916867712,0.49301552315650893,0.5353021789510997,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rock",0.25028991825941393,0.5218134953299609,0.04516765315498176,0.6739496083339165,0.14712309618975558,0.19711500031897766,0.8084391599712645,0.061388187013644034,0.5135395416300449,0.5425088893249399,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Soul",0.38905396024855504,0.593843637408826,0.044110157146737064,0.5462984755039172,0.06400186807901828,0.1709738682281183,0.782362313379412,0.06762579027148417,0.4871654524904277,0.6320560767680039,0,0,0,0,0,0,0,0,0,0,1,0,0,0
