"artists","name","apple_music_player_url","header_image_thumbnail_url","url"
"Bad Bunny","Dakiti","https://genius.com/songs/6100181/apple_music_player","https://images.genius.com/05cbeb3b5492dd0684c043359f82136a.300x169x1.jpg","https://genius.com/Bad-bunny-and-jhay-cortez-dakiti-lyrics"
"BTS","Dynamite","https://genius.com/songs/5833120/apple_music_player","https://images.genius.com/9b91dba31476a19f9ed49edf737f1c21.300x100x1.png","https://genius.com/Genius-turkce-ceviri-bts-dynamite-turkce-ceviri-lyrics"
"Ariana Grande","positions","https://genius.com/songs/6068618/apple_music_player","https://images.genius.com/c245bf620fd06dd5b8d14216bab39e81.300x169x1.jpg","https://genius.com/Ariana-grande-positions-lyrics"
"Pop Smoke","What You Know Bout Love","https://genius.com/songs/5561448/apple_music_player","https://images.genius.com/0324a12198af1188460bac355b472c68.300x300x1.png","https://genius.com/Pop-smoke-what-you-know-bout-love-lyrics"
"The Weeknd","Blinding Lights","https://genius.com/songs/5049949/apple_music_player","https://images.genius.com/81fbce075be16974b07468b71333f99e.300x300x1.jpg","https://genius.com/The-weeknd-blinding-lights-lyrics"
"Tate McRae","you broke me first","https://genius.com/songs/5453929/apple_music_player","https://images.genius.com/17689c5b8052a48ee82f1ffe8175d538.300x300x1.jpg","https://genius.com/Tate-mcrae-you-broke-me-first-lyrics"
"Harry Styles","Watermelon Sugar","https://genius.com/songs/5007939/apple_music_player","https://images.genius.com/55a8f43c165fe3dd6db98f8e0a28cf3e.300x300x1.png","https://genius.com/Harry-styles-watermelon-sugar-lyrics"
"Bad Bunny","Dakiti","https://genius.com/songs/6100181/apple_music_player","https://images.genius.com/05cbeb3b5492dd0684c043359f82136a.300x169x1.jpg","https://genius.com/Bad-bunny-and-jhay-cortez-dakiti-lyrics"
"BTS","Dynamite","https://genius.com/songs/5833120/apple_music_player","https://images.genius.com/9b91dba31476a19f9ed49edf737f1c21.300x100x1.png","https://genius.com/Genius-turkce-ceviri-bts-dynamite-turkce-ceviri-lyrics"
"Ariana Grande","positions","https://genius.com/songs/6068618/apple_music_player","https://images.genius.com/c245bf620fd06dd5b8d14216bab39e81.300x169x1.jpg","https://genius.com/Ariana-grande-positions-lyrics"
"Pop Smoke","What You Know Bout Love","https://genius.com/songs/5561448/apple_music_player","https://images.genius.com/0324a12198af1188460bac355b472c68.300x300x1.png","https://genius.com/Pop-smoke-what-you-know-bout-love-lyrics"
"The Weeknd","Blinding Lights","https://genius.com/songs/5049949/apple_music_player","https://images.genius.com/81fbce075be16974b07468b71333f99e.300x300x1.jpg","https://genius.com/The-weeknd-blinding-lights-lyrics"
"Tate McRae","you broke me first","https://genius.com/songs/5453929/apple_music_player","https://images.genius.com/17689c5b8052a48ee82f1ffe8175d538.300x300x1.jpg","https://genius.com/Tate-mcrae-you-broke-me-first-lyrics"
"Harry Styles","Watermelon Sugar","https://genius.com/songs/5007939/apple_music_player","https://images.genius.com/55a8f43c165fe3dd6db98f8e0a28cf3e.300x300x1.png","https://genius.com/Harry-styles-watermelon-sugar-lyrics"
"Internet Money","Lemonade","https://genius.com/songs/5670872/apple_music_player","https://images.genius.com/d9e19464497870c05fac06ca2fc1e915.300x300x1.png","https://genius.com/Internet-money-lemonade-lyrics"
"Sech","Relación - Remix","https://genius.com/songs/5743232/apple_music_player","https://images.genius.com/a98f940ca98e1ced6aa56ce7b99762ad.300x300x1.jpg","https://genius.com/Sech-daddy-yankee-and-j-balvin-relacion-remix-lyrics"
"Conan Gray","Heather","https://genius.com/songs/5160928/apple_music_player","https://images.genius.com/421e480ec752de741ba5ae90d381181a.300x169x1.jpg","https://genius.com/Conan-gray-heather-lyrics"
